post_id,run_id,scraped_at,source_txt,price,year,make,model,mileage,body_type,color,condition,city,state,zip_code,llm_provider,llm_model,llm_ts
7925765296,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7925765296.txt,7500.0,2015,Kia,Sportage,128879,SUV,black,excellent,North Haven,CT,,vertex,gemini-2.5-flash,2026-04-08T00:15:44.332142Z
7925909872,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7925909872.txt,14850.0,2020,Ford,Fusion,35125,sedan,blue,Used,Bridgeport,CT,06606,vertex,gemini-2.5-flash,2026-04-08T01:15:49.593529Z
7925618185,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7925618185.txt,9900.0,2013,Infiniti,EX35,89281,SUV,grey,excellent,Branford,CT,,vertex,gemini-2.5-flash,2026-04-08T00:15:27.021369Z
7922673481,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7922673481.txt,1550.0,2012,Chrysler,Town & Country,166000,minivan,custom,good,Bridgeport,CT,,vertex,gemini-2.5-flash,2026-04-08T00:46:56.102585Z
7923278051,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7923278051.txt,6488.0,2014,Nissan,Maxima SV,117455,sedan,white,,West Haven,CT,06516,vertex,gemini-2.5-flash,2026-04-08T00:47:30.206533Z
7925862253,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7925862253.txt,11500.0,2017,Jeep,Cherokee Trailhawk,92000,SUV,grey,good,Seymour,CT,,vertex,gemini-2.5-flash,2026-04-08T00:16:13.175776Z
7923327561,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7923327561.txt,3288.0,2002,Dodge,Neon,150000,,,,Wallingford,CT,06492,vertex,gemini-2.5-flash,2026-04-08T01:12:48.896326Z
7925909837,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7925909837.txt,14850.0,2018,INFINITI,Q50,139096,sedan,white,Used,Bridgeport,CT,06606,vertex,gemini-2.5-flash,2026-04-08T00:16:25.353371Z
7923649180,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7923649180.txt,26500.0,2020,Ram,Promaster 2500,46500,van,silver,like new,Southbury,CT,,vertex,gemini-2.5-flash,2026-04-08T01:12:59.600143Z
7924892871,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7924892871.txt,7500.0,2011,Toyota,Tundra,190000,pickup,,nice condition,Wallingford,CT,,vertex,gemini-2.5-flash,2026-04-08T00:14:15.249714Z
7922939454,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7922939454.txt,88993.0,2024,RAM,PROMASTER 2500 159 WB,25,van,white,new,Nashua,NH,,vertex,gemini-2.5-flash,2026-04-08T00:47:06.170115Z
7925231411,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7925231411.txt,5000.0,2001,Chevrolet,Silverado 2500HD,246000,pickup,black,good,North Haven,CT,,vertex,gemini-2.5-flash,2026-04-08T01:14:08.869649Z
7923863990,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7923863990.txt,7999.0,2012,Fiat,500,37851,hatchback,blue,excellent,Manchester,NH,,vertex,gemini-2.5-flash,2026-04-08T00:13:17.406060Z
7925776464,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7925776464.txt,2000.0,2020,honda,accord,20000,sedan,blue,like new,NORTH HAVEN,CT,,vertex,gemini-2.5-flash,2026-04-08T00:15:59.876207Z
7924429406,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7924429406.txt,4200.0,2018,Kia,soul +,170000,,silver,excellent,Branford,CT,,vertex,gemini-2.5-flash,2026-04-08T00:13:56.926799Z
7923254716,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7923254716.txt,3300.0,2010,HYANDIA,ELECTRA,133500,coupe,grey,good,Wallingford,CT,,vertex,gemini-2.5-flash,2026-04-08T01:12:35.269684Z
7924302851,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7924302851.txt,48955.0,2018,Lexus,LC 500,19539,coupe,,excellent,New Haven,CT,,vertex,gemini-2.5-flash,2026-04-08T01:13:32.258937Z
7925910282,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7925910282.txt,10800.0,2019,Dodge,Charger,54917,4dr Car,White Knuckle Clearcoat,Used,Bridgeport,CT,,vertex,gemini-2.5-flash,2026-04-08T00:16:37.649942Z
7926253247,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7926253247.txt,3750.0,2007,Toyota,Corolla LE,190000,sedan,grey,excellent,Madison,CT,,vertex,gemini-2.5-flash,2026-04-08T01:16:40.809527Z
7924386182,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7924386182.txt,13800.0,2012,TOYOTA,CAMRY SE,93250,sedan,red,excellent,Waterbury,CT,,vertex,gemini-2.5-flash,2026-04-08T01:13:37.255999Z
7924922065,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7924922065.txt,7500.0,1987,Ford,F150,79000,pickup,red,fair,North Branford,CT,,vertex,gemini-2.5-flash,2026-04-08T00:14:19.776320Z
7924062352,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7924062352.txt,4700.0,2015,subaru,impreza,183000,hatchback,silver,excellent,Shelton,CT,,vertex,gemini-2.5-flash,2026-04-08T00:13:37.259036Z
7923207597,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7923207597.txt,7400.0,2015,subaru,outback 3.6r limited awd,179079,wagon,black,like new,Meriden,CT,06450,vertex,gemini-2.5-flash,2026-04-08T01:12:32.460902Z
7925133149,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7925133149.txt,4000.0,1976,ford,ELITE,40000,coupe,white,excellent,Derby,CT,,vertex,gemini-2.5-flash,2026-04-08T00:14:26.096447Z
7923650746,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7923650746.txt,3300.0,2011,Chevy,express 2500,200000,van,,good,Southbury,CT,,vertex,gemini-2.5-flash,2026-04-08T00:47:38.277398Z
7925910285,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7925910285.txt,8900.0,2017,Hyundai,Elantra,105189,sedan,Scarlet Red,Used,Bridgeport,CT,06606,vertex,gemini-2.5-flash,2026-04-08T01:16:08.808239Z
7923896699,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7923896699.txt,6000.0,2006,chevy,impala SS,111000,sedan,black,excellent,Milford,CT,,vertex,gemini-2.5-flash,2026-04-08T01:13:09.508011Z
7923573368,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7923573368.txt,9500.0,2013,Nissan,Altima,103000,sedan,white,GREAT CONDITIONS!,Stratford,CT,,vertex,gemini-2.5-flash,2026-04-08T01:12:55.278975Z
7925750254,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7925750254.txt,7500.0,2016,Chevrolet,Trax LS,81652,hatchback,black,excellent,Meriden,CT,,vertex,gemini-2.5-flash,2026-04-08T01:15:06.129708Z
7925718718,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7925718718.txt,2500.0,2012,VW,Tiguan,145400,SUV,grey,fair,Guilford,CT,,vertex,gemini-2.5-flash,2026-04-08T00:15:38.382989Z
7923269508,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7923269508.txt,12800.0,2018,Chevrolet,Equinox,135100,Sport Utility,Black Mosaic Black Metallic,clean,Stamford,CT,06902,vertex,gemini-2.5-flash,2026-04-08T01:12:42.664656Z
7925910197,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7925910197.txt,15900.0,2019,Audi,A4,71241,sedan,black,Used,Bridgeport,CT,06606,vertex,gemini-2.5-flash,2026-04-08T01:16:01.508185Z
7926094837,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7926094837.txt,11000.0,2018,nissan,nv200 sv,133500,minivan,white,good,Orange,CT,06477,vertex,gemini-2.5-flash,2026-04-08T00:17:29.181741Z
7925987763,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7925987763.txt,7200.0,2018,SUBARU,LEGACY,175000,sedan,blue,excellent,Shelton,CT,,vertex,gemini-2.5-flash,2026-04-08T01:16:19.450845Z
7922888763,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7922888763.txt,2800.0,2005,buick,park avenue ultra,104000,sedan,,,New Haven,CT,,vertex,gemini-2.5-flash,2026-04-08T01:12:21.060642Z
7923842626,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7923842626.txt,4900.0,2013,chrysler,town and country limited,163000,minivan,silver,excellent,Shelton,CT,,vertex,gemini-2.5-flash,2026-04-08T00:13:11.175846Z
7925909032,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7925909032.txt,8900.0,2006,Lexus,GS 300,131986,sedan,silver,Used,Bridgeport,CT,06606,vertex,gemini-2.5-flash,2026-04-08T00:16:18.746749Z
7925776290,20260408000006,2026-04-08T00:00:06Z,scrapes/20260408000006/7925776290.txt,5000.0,2021,Tesla,Model Y,61000,wagon,white,like new,North Haven,CT,,vertex,gemini-2.5-flash,2026-04-08T00:15:52.991115Z
7925910184,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7925910184.txt,15500.0,2018,BMW,X2,79633,Sport Utility,Black Sapphire Metallic,Used,Bridgeport,CT,06606,vertex,gemini-2.5-flash,2026-04-08T01:15:54.830453Z
7924599111,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7924599111.txt,10299.0,2002,Ford,Ranger Xlt,131000,pickup,grey,like new,Trumbull,CT,,vertex,gemini-2.5-flash,2026-04-08T01:13:42.985978Z
7925251911,20260408010005,2026-04-08T01:00:05Z,scrapes/20260408010005/7925251911.txt,5485.0,2012,Volvo,S80 T6 Premier AWD Sedan,151000,sedan,white,excellent,Branford,CT,,vertex,gemini-2.5-flash,2026-04-08T01:14:14.608580Z
